"","type","Migration","name","x","y"
"170","tno:coastal_migration_satellite_0_40k",-2.77079186,1491,-1.3783953495,45.947981309
"171","tno:coastal_migration_satellite_0_40k",-2.44592131,1492,-1.3758025336,45.9454311011
"172","tno:coastal_migration_satellite_0_40k",-0.67248997,1493,-1.372983063,45.9430046606
"173","tno:coastal_migration_satellite_0_40k",-1.87487486,1494,-1.370030786,45.9406507613
"174","tno:coastal_migration_satellite_0_40k",-2.39815197,1495,-1.3670785091,45.9382967621
"175","tno:coastal_migration_satellite_0_40k",-3.51671176,1496,-1.3641262321,45.9359426629
"176","tno:coastal_migration_satellite_0_40k",-1.11998885,1497,-1.3610674968,45.9336570162
"177","tno:coastal_migration_satellite_0_40k",-2.0899674,1498,-1.3579184513,45.9314294705
"178","tno:coastal_migration_satellite_0_40k",-2.96669522,1499,-1.3547694058,45.9292018353
"179","tno:coastal_migration_satellite_0_40k",-1.9252432,1500,-1.3516203603,45.9269741106
"180","tno:coastal_migration_satellite_0_40k",-2.13349538,1501,-1.3483194238,45.9248577668
"181","tno:coastal_migration_satellite_0_40k",-0.37072786,1502,-1.3449520342,45.9227901486
"182","tno:coastal_migration_satellite_0_40k",-4.10207786,1503,-1.3415846445,45.9207224534
"183","tno:coastal_migration_satellite_0_40k",-0.15962495,1504,-1.3381126111,45.918744403
"184","tno:coastal_migration_satellite_0_40k",-1.88392908,1505,-1.3344802952,45.9169083367
"185","tno:coastal_migration_satellite_0_40k",-0.2023783,1506,-1.3306795505,45.9152431872
"186","tno:coastal_migration_satellite_0_40k",-0.50944935,1507,-1.3268788058,45.9135779878
"187","tno:coastal_migration_satellite_0_40k",-3.69836534,1508,-1.323078061,45.9119127383
"188","tno:coastal_migration_satellite_0_40k",-1.49586899,1509,-1.3194731588,45.9100545733
"189","tno:coastal_migration_satellite_0_40k",-1.58814711,1510,-1.3159470399,45.9081187082
"190","tno:coastal_migration_satellite_0_40k",-4.11008621,1511,-1.312420921,45.9061827755
"191","tno:coastal_migration_satellite_0_40k",-2.27979488,1512,-1.3088948021,45.9042467754
"192","tno:coastal_migration_satellite_0_40k",-2.80705386,1513,-1.3053686832,45.9023107077
"193","tno:coastal_migration_satellite_0_40k",-2.3671846,1514,-1.3016469269,45.9005741556
"194","tno:coastal_migration_satellite_0_40k",0.85586802,1515,-1.2975720416,45.899276773
"195","tno:coastal_migration_satellite_0_40k",-2.42875096,1516,-1.2937249605,45.897739992
"196","tno:coastal_migration_satellite_0_40k",-2.41289251,1517,-1.2903521321,45.8956807393
"197","tno:coastal_migration_satellite_0_40k",-1.29580155,1518,-1.2873092327,45.8933813638
"198","tno:coastal_migration_satellite_0_40k",-2.27821572,1519,-1.2842663333,45.8910818931
"199","tno:coastal_migration_satellite_0_40k",-2.44051832,1520,-1.2812234339,45.8887823272
